candidate_id,rank,score,reasoning
CAND_0000043,1,1.2000,SKILL_MATCH_FACTOR: 0.70 | CENTRALITY_RARITY_FACTOR: 0.50
CAND_0000074,2,1.0000,SKILL_MATCH_FACTOR: 0.50 | CENTRALITY_RARITY_FACTOR: 0.50
CAND_0000010,3,0.9000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.40
CAND_0000014,4,0.9000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.40
CAND_0000031,5,0.9000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.40
CAND_0000071,6,0.9000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.40
CAND_0000001,7,0.8000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.30
CAND_0000015,8,0.7000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.20
CAND_0000025,9,0.7000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.20
CAND_0000038,10,0.7000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.20
CAND_0000044,11,0.7000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.20
CAND_0000068,12,0.7000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.20
CAND_0000063,13,0.6000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.10
CAND_0000091,14,0.6000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.10
CAND_0000096,15,0.6000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.10
CAND_0000006,16,0.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000011,17,0.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000012,18,0.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000013,19,0.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000018,20,0.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000019,21,0.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000022,22,0.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000023,23,0.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000026,24,0.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000030,25,0.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000037,26,0.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000039,27,0.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000040,28,0.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000046,29,0.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000049,30,0.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000051,31,0.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000052,32,0.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000054,33,0.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000058,34,0.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000061,35,0.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000062,36,0.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000064,37,0.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000065,38,0.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000066,39,0.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000069,40,0.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000072,41,0.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000075,42,0.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000087,43,0.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000088,44,0.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000089,45,0.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000090,46,0.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000094,47,0.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000095,48,0.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000099,49,0.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000083,50,-8.8000,SKILL_MATCH_FACTOR: 0.70 | CENTRALITY_RARITY_FACTOR: 0.50
CAND_0000021,51,-8.9000,SKILL_MATCH_FACTOR: 0.60 | CENTRALITY_RARITY_FACTOR: 0.50
CAND_0000097,52,-9.0000,SKILL_MATCH_FACTOR: 0.50 | CENTRALITY_RARITY_FACTOR: 0.50
CAND_0000082,53,-9.1000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.40
CAND_0000032,54,-9.3000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.20
CAND_0000027,55,-9.4000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.10
CAND_0000060,56,-9.4000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.10
CAND_0000002,57,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000003,58,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000004,59,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000005,60,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000007,61,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000008,62,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000009,63,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000016,64,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000017,65,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000020,66,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000024,67,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000028,68,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000029,69,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000033,70,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000034,71,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000035,72,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000036,73,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000041,74,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000042,75,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000045,76,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000047,77,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000048,78,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000050,79,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000053,80,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000055,81,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000056,82,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000057,83,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000059,84,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000067,85,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000070,86,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000073,87,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000076,88,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000077,89,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000078,90,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000079,91,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000080,92,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000081,93,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000084,94,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000085,95,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000086,96,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000092,97,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000093,98,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000098,99,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000100,100,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
